"pHSC" "Blasts"
"SERPING1" 8.98507226611238 3.94517913680043
"STK33" 6.19749249592212 2.00084793749964
"PTPRE" 6.72589715501817 11.014215851836
"GPRASP1" 6.67474022103423 2.94244144566406
"MTSS1" 6.46052851712332 9.53400530066306
"HK3" 0.183299258260484 4.40053582835782
"P2RY13" 6.32188242214159 9.9014656864233
"AC010200.1" 0.419394915092027 5.09790700837945
"CCDC170" 0.695580291857213 5.55275013755843
"NCF1" 0.790597453056983 5.82293905776356
"MANSC1" 7.36535460657238 3.86691918952738
"HFM1" 4.59843719768917 0
"NCF1B" 0 4.14261345011436
"TMEM136" 5.83471152619321 0.771605619101993
"IL1RN" 1.86975096818114 8.03271770883075
"C3orf14" 4.55552002291078 0
"SPRY1" 9.05583283431348 2.40122229755049
"GPR84" 0.756852095140803 5.02137565284327
"SLC31A2" 1.83497453917127 6.5446823285272
"MMP19" 1.09836162260176 6.74117973817733
"SMPDL3A" 0.337457180048777 4.63834667298555
"TEK" 6.82905617876872 1.1412322299515
"SSPN" 6.33513265788677 1.71351825942226
"ZDBF2" 4.22233022355637 0
"IL13RA1" 7.67968395098682 10.6355455311177
"DNAJC5B" 0 4.24076391738106
"MNDA" 3.33168453580167 10.8899891777642
"CHMP1B2P" 4.13920413487334 0
"BCL9" 7.3340259647384 4.17472593469638
"GP1BA" 6.45400761527832 2.84034693951104
"ABI3BP" 7.76664853574148 4.4618571350977
"CPM" 4.39415710752243 8.49618661225612
"METRNL" 2.48536013723493 5.98198260022861
"MAFB" 1.19049294749043 8.04930294335936
"AC083855.2" 0 4.27850644840895
"KCNC3" 0.520756438309261 4.546849798744
"SDR42E1" 5.57428977070977 1.72223252271286
"C5AR1" 0.672839250902477 8.13710645449478
"LRRN1" 8.50164290701398 3.46523183815034
"FCGR3A" 0.672839250902477 8.10807501580176
"ADD3" 9.50868046595319 11.9246216458935
"SLC36A1" 6.47494181386388 8.92474739147372
"TIMP1" 7.06554880645747 10.5233793098185
"LINC02232" 4.46646248445239 0
"BEX5" 4.35383271369842 0
"TSPAN6" 4.42350167598057 0
"C3AR1" 3.35785096937703 10.4848452054122
"ZDHHC15" 7.23477243350187 3.32249842234739
"AL118508.2" 0 3.8717666973644
"SCN2A" 4.86497947869536 0.382730786199573
"AC026369.3" 5.27707956325419 0.593117447915277
"ZNF483" 4.8868384226521 0.382730786199573
"LACTB" 6.35890960792183 9.23492628181272
"PLCB4" 8.15408354004105 1.50564270250843
"VWA2" 4.28516412742931 0
"ZNF415P1" 0.695580291857213 5.10727398252849
"TCTEX1D1" 6.33238403594365 3.18909616307902
"LAMB3" 0 3.8277745044956
"AC073534.1" 5.7167135118912 2.21510987785989
"LINC02573" 4.85457746381489 0.382730786199573
"BIN1" 5.22578762187132 1.36598149956675
"SCML4" 6.33533822799449 1.58254903091611
"STS" 4.6375144508645 7.88448914927912
"ZNF287" 6.34015867015845 2.66899662598818
"PKIB" 2.04205092662023 7.03346300598994
"C2orf66" 4.37699597030761 0
"CD109" 10.6133821199147 7.18219766534061
"SHTN1" 5.25835651080417 9.43975001274623
"ECEL1P2" 4.38893592163799 0
"FGD6" 3.03758007140475 6.99579811460313
"AL391832.3" 2.54623021455908 6.38022324175204
"FAM81A" 0 3.98701524832205
"FRMD3" 2.33431205186891 6.14718000974063
"ST3GAL6" 4.58495466461528 7.93933885035629
"GUCY1A1" 11.3833083618316 8.18396691027753
"YES1" 8.84813185622747 5.35926070245143
"AC007384.1" 5.59923519552321 8.31836900874563
"PLEKHG4B" 3.91773968382001 0
"PGM5" 7.06269227210341 2.09266125835202
"COBLL1" 7.53239844748098 4.63624935068523
"EVC" 4.07738635413682 0
"LRRC70" 7.30433157768425 4.10195351851394
"RGS2" 7.70228077939139 11.1130724989582
"HMGA2" 8.59717773269018 2.17344457250818
"CD33" 2.85944211714847 8.3830074864687
"HCAR3" 0.695580291857213 5.29916776472424
"MLLT3" 11.7132304744127 5.92487636901411
"AP003498.2" 4.20962726136963 0.244471452300565
"TPTEP1" 8.15747752406388 1.55420530078502
"AL354936.1" 4.70084360313936 0.382730786199573
"RASSF4" 4.07486938320912 8.37094223306417
"PTAFR" 5.85801519895232 8.78231801768193
"SULF2" 4.00279365437718 7.76057717337767
"POU2F2" 6.03609284759894 8.37366242417322
"LYST" 9.37435927450868 12.3467668490639
"NOD2" 2.75041859842548 6.88496605617118
"ZNF208" 4.26589331514824 0
"CSGALNACT1" 1.2425927040542 5.5263675116903
"ALOX5" 3.1750639973205 6.68852256574767
"PLAUR" 6.45267083447262 10.5001809362648
"RBPMS" 9.45386566221771 6.11837752958012
"GATA3" 4.66382128492857 0.382730786199573
